recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
52,125.6875,107,19.578125,125.6875,1.519646726,52,55,20.06673177,0,124480,41789.61688,6846392,55,0.37666446
55,125.6875,108,19.821875,24,1.452136761,52,55,20.29750845,0,125664,42179.18775,6911512,55,0.37306306
55,125.6875,109,19.634375,24.3125,1.624071249,52,55,20.23019748,0,126816,42568.02751,6974872,55,0.37763768
55,125.6875,110,19.771875,24,1.463391155,52,55,19.85335498,0,127971,42956.82585,7038397,55,0.3722819
55,125.6875,111,20.0625,24,1.035502595,52,55,20.09097163,0,129152,43347.62669,7103352,55,0.36682475
55,125.6875,112,17.846875,24.3125,1.70115712,52,55,20.2508138,0,130304,43739.84327,7166712,55,0.37831408
55,125.6875,113,20.415625,24,1.194432887,52,55,20.54930321,0,131488,44127.02311,7231832,55,0.3835171
55,125.6875,114,20.25625,24,1.018366492,52,55,20.20252821,0,132640,44516.48379,7295192,55,0.37392205
51,125.6875,115,20.421875,125.575,1.421359797,51,55,21.27012804,0,133792,44906.20653,7358518,55,0.39600447
55,125.6875,116,20.796875,24,1.066513559,51,55,20.03542019,0,134976,45295.10989,7423638,55,0.3707468
55,125.6875,117,20.59375,24.3125,1.555295892,51,55,20.06499566,0,136128,45688.39541,7486998,55,0.37251443
55,125.6875,118,19.0125,24,1.441516129,51,55,19.95730252,0,137280,46082.12459,7550358,55,0.37559432
55,125.6875,119,20.5125,24,1.131681548,51,55,19.99503801,0,138464,46471.16575,7615478,55,0.36599347
55,125.6875,120,20.709375,24,1.153675343,51,55,20.11111111,0,139616,46863.02327,7678838,55,0.3757892
