n_updates,recent_best_eplen,eplen,recent_best_ext_ret,best_ext_ret,best_eplen,rew_mean,recent_worst_eplen,epcount,tcount,eplen_std,eprew,eprew_recent,eprew_std,total_secs
149,55,55.0,21.03125,24.9375,55,0.14090186,55,346752.0,19071360.0,0.0,9.4146875,7.657134184966216,3.493028366327527,115061.18297195435
150,55,55.0,21.8125,24.9375,55,0.15222904,55,349056.0,19198080.0,0.0,8.67625,8.188883463541666,3.8354140299646917,115840.44419836998
151,55,55.0,24.15625,24.9375,55,0.15991977,55,351360.0,19324800.0,0.0,9.1796875,8.45199924045139,3.9910651553462206,116615.71325540543
152,55,55.0,19.46875,24.9375,55,0.14690426,55,353728.0,19455040.0,0.0,8.088125,7.980297191722973,3.718430606031932,117379.41179800034
153,55,55.0,19.46875,24.9375,55,0.1595166,55,356032.0,19581760.0,0.0,8.6234375,8.568603515625,4.244289304373437,118142.45352745056
154,55,55.0,21.8125,24.9375,55,0.16194871,55,358336.0,19708480.0,0.0,5.92875,8.68405490451389,2.1552039129163627,118909.65617632866
155,55,55.0,20.25,24.9375,55,0.1491475,55,360704.0,19838720.0,0.0,10.8825,8.05249683277027,4.71314054002212,119668.67605471611
156,55,55.0,21.03125,24.9375,55,0.1597828,55,363008.0,19965440.0,0.0,10.6834375,8.504652235243055,4.270151341635183,120435.28419017792
157,55,55.0,21.8125,24.9375,55,0.15172361,55,365376.0,20095680.0,0.0,13.9053125,8.12672877956081,4.862444679553563,121195.4066233635
158,55,55.0,21.03125,24.9375,55,0.15168765,55,367680.0,20222400.0,0.0,6.71375,8.22707790798611,2.7455387107997584,121953.03423047066
159,55,55.0,21.03125,24.9375,55,0.15053578,55,369984.0,20349120.0,0.0,6.9840625,7.939453125,3.72811188964585,122711.75344705582
160,55,55.0,18.6875,24.9375,55,0.14166313,55,372352.0,20479360.0,0.0,7.1459375,7.661238386824325,3.347430961643384,123473.0285961628
161,55,55.0,23.375,24.9375,55,0.154577,55,374656.0,20606080.0,0.0,5.4971875,8.31759982638889,1.7720987237506687,124233.34366059303
162,55,55.0,21.03125,24.9375,55,0.15490931,55,376960.0,20732800.0,0.0,11.4721875,8.18283420138889,5.72326989244075,125001.64236021042
163,55,55.0,21.03125,24.9375,55,0.14892223,55,379328.0,20863040.0,0.0,6.42375,8.093657622466216,2.742398300302128,125770.38063812256
164,55,55.0,19.46875,24.9375,55,0.13926937,55,381632.0,20989760.0,0.0,5.3609375,7.427788628472222,1.6291495996282082,126532.30029845238
165,55,55.0,21.03125,24.9375,55,0.14466299,55,383936.0,21116480.0,0.0,6.306875,7.691257052951389,2.720087242971262,127293.70983219147
166,55,55.0,20.25,24.9375,55,0.15107681,55,386304.0,21246720.0,0.0,7.8921875,8.16554054054054,3.5822298370524392,128054.12689495087
167,55,55.0,20.25,24.9375,55,0.15852207,55,388608.0,21373440.0,0.0,7.8171875,8.407362196180555,3.192172968640445,128821.93086600304
168,55,55.0,23.375,24.9375,55,0.17168605,55,390976.0,21503680.0,0.0,5.9884375,9.222590266047296,2.315794338443885,129582.19015836716
169,55,55.0,19.46875,24.9375,55,0.14799413,55,393280.0,21630400.0,0.0,8.18375,8.0037841796875,4.411551066518442,130343.86789441109
170,55,55.0,20.25,24.9375,55,0.1602579,55,395584.0,21757120.0,0.0,5.3328125,8.453911675347221,1.5532813993184718,131112.15015506744
171,55,55.0,18.6875,24.9375,55,0.15442367,55,397952.0,21887360.0,0.0,7.0171875,8.390585409628379,3.3354961651857353,131879.4416294098
