epcount,tcount,eprew,eplen_std,eplen_recent_best,wait_step,rets_ext,eplen,eprew_best,eprew_recent_best,rets_int,time_elapsed,wait_policy_inference,eplen_best,eplen_histmean,eprew_std,eprew_histmean,wait_update,n_updates
169712,18345839,99.40409877800408,5.0512558540057055,60,371.84151816368103,76.72592,66.69170061099797,102.2,102.1,0.4711805,27281.095848798752,17.991921424865723,60,66.45,3.3880797694044626,99.54,234.50972604751587,70
173641,18607844,99.40623568337999,5.325015877246034,61,356.9591450691223,76.255196,66.68490710104352,102.2,101.8,0.5044163,27638.215510606766,17.4744393825531,60,66.62,3.457194048821709,99.46800000000002,221.0604259967804,71
177614,18870101,99.70928769192047,4.317461929732742,60,354.14735293388367,76.246445,66.00981625975334,102.2,102.1,0.5095402,27992.415987730026,17.630887985229492,60,66.29,1.7510046940981117,99.601,219.92507481575012,72
181610,19132079,99.89291791791791,3.5511627889396937,60,355.99844789505005,76.69913,65.56006006006007,102.2,102.1,0.53032804,28348.4445168972,17.82261371612549,60,66.38,1.4273102707113645,99.57199999999999,220.25976133346558,73
185618,19393853,99.96776447105789,4.5969175129551605,60,351.2286343574524,76.58899,65.312874251497,102.2,102.2,0.5210124,28699.705216169357,17.66153335571289,60,65.44,3.2948629029622056,99.96,218.5571939945221,74
189642,19656583,100.00196322067595,3.8896884155449754,60,356.0191071033478,77.405205,65.29075546719682,102.2,102.2,0.5770076,29055.750592947006,17.93911862373352,60,65.05,1.5655916324767065,100.098,220.99046397209167,75
193687,19918777,100.17119901112484,4.646167417763938,59,353.5822389125824,77.276375,64.81928306551298,102.5,102.5,0.5711223,29409.36093568802,17.639380931854248,59,64.95,3.2981957342324737,100.15599999999999,218.96292424201965,76
197752,20180896,100.33380073800738,3.804474643685102,59,351.5026648044586,77.27651,64.4819188191882,102.6,102.6,0.5332589,29760.888617277145,17.534217357635498,59,64.88,1.5285648977526345,100.17799999999997,217.66248202323914,77
201838,20443052,100.43152227116985,4.379287587645474,60,354.69696378707886,77.08438,64.15956926089085,102.6,102.2,0.53844625,30115.61166882515,17.670705795288086,59,64.51,3.232255294020761,100.31,221.24207520484924,78
205938,20705113,100.55685365853658,3.431239926914172,60,351.67501163482666,77.51972,63.91731707317073,102.6,102.2,0.52419424,30467.304072380066,17.58090901374817,59,64.33,1.3811092583362932,100.406,216.8664357662201,79
210062,20967577,100.67509699321047,3.0582206897543363,60,353.94652462005615,77.84551,63.64306498545102,102.6,102.2,0.5262133,30821.277435541153,17.904069423675537,59,63.7,1.2330531588034592,100.646,217.65130233764648,80
214208,21229634,100.85164013506996,2.653353729253616,60,359.6403329372406,78.24458,63.207187650747706,102.6,102.2,0.52383727,31181.086423635483,17.61767840385437,59,63.35,1.0733914863380294,100.79099999999998,224.2253167629242,81
218360,21491720,100.88805394990366,2.913631320021459,60,358.13177967071533,78.18601,63.122832369942195,102.6,102.2,0.5227129,31539.24312543869,17.55562114715576,59,63.24,1.1800145605788264,100.847,222.52766919136047,82
222531,21753935,100.99110525053945,2.6328681682887067,59,356.8766884803772,78.134254,62.866219132102614,102.6,102.6,0.5141768,31896.141569137573,17.622806787490845,59,62.77,1.0659279294145871,101.01799999999999,222.21548175811768,83
226720,22016550,101.06447839579852,2.4540422479445216,59,353.66165375709534,78.136055,62.69157316782048,102.6,102.6,0.53275466,32249.835824489594,17.68025517463684,59,62.93,0.9923453011810139,100.96999999999998,218.5982460975647,84
