eplen,total_secs,recent_best_ext_ret,epcount,tcount,recent_best_eplen,eprew_std,n_updates,recent_worst_eplen,eplen_std,best_ext_ret,rew_mean,eprew,best_eplen,eprew_recent
123.72,37316.43811,210.2,184810,31736023,105,3.527873439,124,268,8.819387734,211.2,1.6522298,202.547,102,202.6014472
123.53,37624.32119,210,186876,31991554,105,4.53546238,125,228,11.21468234,211.2,1.6454397,202.591,102,202.5418683
120.63,37930.90657,211.8,188962,32248024,101,2.678021658,126,375,6.704707302,211.8,1.6666769,203.78,101,202.7369128
122.86,38238.37609,211.2,191046,32504144,102,3.112278105,127,375,7.805152145,211.8,1.6634257,202.915,101,202.7710653
122.75,38543.01029,210.8,193134,32760899,103,3.35378756,128,375,8.404016897,211.8,1.6669878,202.947,101,202.7409483
122.71,38845.77655,210.8,195227,33016911,103,3.587330344,129,229,8.79237738,211.8,1.673141,202.919,101,203.0975155
124.6,39152.32982,210.8,197313,33272076,103,7.184650305,130,341,17.9387848,211.8,1.6672233,202.18,101,203.1007191
122.33,39456.3863,210,199410,33528208,105,3.813137291,131,262,9.48372817,211.8,1.6794732,203.072,101,203.1639008
120.75,39760.77293,212,201518,33784487,100,3.269369358,132,375,8.16991432,212,1.6859467,203.732,100,203.2885199
122.96,40066.5602,210.5,203615,34039629,104,3.818571853,133,335,9.529868834,212,1.6796663,202.847,100,203.3657606
121.19,40373.64743,211.6,205734,34296252,101,3.362529405,134,235,8.219117958,212,1.6997513,203.486,100,203.5899953
122.51,40679.88805,211.6,207839,34551834,101,4.445547323,135,375,11.01316939,212,1.6854187,202.953,100,203.1307838
121.67,40982.99831,210.8,209952,34808224,103,4.482072735,136,321,11.26059945,212,1.6914136,203.332,100,203.4825367
120.4,41289.87618,210.6,212070,35063587,104,3.615375361,137,305,9.045440841,212,1.6992321,203.881,100,203.7810198
119.4,41598.44342,210.8,214195,35319615,103,2.942943425,138,375,7.372923436,212,1.7061045,204.278,100,203.6365176
119.53,41904.38394,211.6,216348,35576325,101,2.847981742,139,223,7.178377254,212,1.7298192,204.24,100,204.3389689
118.23,42209.44783,211.6,218491,35832367,101,2.793140884,140,375,7.002649499,212,1.7206074,204.758,100,204.1308913
120.86,42511.85663,211.2,220639,36087926,102,3.362839723,141,224,8.196365048,212,1.7290677,203.647,100,204.4463687
117.92,42818.33844,211.6,222796,36344599,101,2.85988741,142,306,7.178690688,212,1.7364913,204.862,100,204.4200278
118.43,43126.13806,211.2,224943,36600262,102,3.080373354,143,334,7.464924648,212,1.7279533,204.59,100,204.3898463
119.33,43433.06408,211.2,227106,36856406,102,3.896811389,144,375,9.691289904,212,1.7425395,204.281,100,204.5515488
118.56,43737.75742,213.7,229267,37112065,96,2.841443999,145,341,7.133470404,213.7,1.7424108,204.614,96,204.7089311
118.09,44045.53887,211.2,231442,37368750,102,2.85352694,146,336,6.86890821,213.7,1.7557188,204.772,96,204.8261149
117.79,44352.57155,211.6,233622,37625015,101,4.735247723,147,304,11.8298732,213.7,1.7580341,204.923,96,205.0149541
118.19,44656.72335,212,235797,37880328,100,5.537076033,148,375,13.87205464,213.7,1.7538937,204.767,96,204.9677241
117.02,44963.98046,211.2,237987,38136283,102,3.215603209,149,191,8.065953136,213.7,1.7717009,205.236,96,205.283379
117.08,45272.93639,211.8,240175,38392452,101,3.573440219,150,255,8.961785536,213.7,1.7660767,205.215,96,205.2020567
116.01,45578.03564,212.2,242374,38648442,100,3.062949396,151,337,7.647868984,213.7,1.7800583,205.629,96,205.4674397
115.73,45882.57812,211.6,244570,38904134,101,2.852314674,152,316,7.215060637,213.7,1.775276,205.749,96,205.4534153
115.18,46187.82914,211.6,246780,39160410,101,2.989353776,153,375,7.486494507,213.7,1.7895148,205.958,96,205.4467421
116.11,46492.21237,213.2,248993,39416641,97,4.645786909,154,375,11.63348185,213.7,1.7906368,205.592,96,205.6192047
113.95,46798.16019,212.4,251209,39672452,99,2.179040844,155,375,5.415487051,213.7,1.794875,206.459,96,205.7588448
115.1,47100.79345,212.8,253433,39928546,98,2.511293691,156,375,6.247399459,213.7,1.8024168,205.998,96,205.8864658
113.45,47405.22747,212,255660,40184672,100,2.429453436,157,375,6.038832669,213.7,1.8053237,206.666,96,205.932106
112.74,47710.61018,212.7,257900,40440849,99,2.436181233,158,375,5.790716709,213.7,1.817715,206.911,96,206.0882589
115.05,48013.21983,212,260134,40697095,100,3.563744519,159,375,8.90772137,213.7,1.8124521,206.025,96,206.0529991
114.15,48317.73971,212.4,262373,40952496,99,3.56294527,160,375,8.804970187,213.7,1.8173676,206.339,96,206.3132649
113.48,48625.40124,212.4,264620,41209126,99,2.320736736,161,375,5.652397721,213.7,1.8256503,206.609,96,206.2515799
114.59,48931.63815,212.4,266871,41465397,99,2.770780395,162,251,6.912445298,213.7,1.8292607,206.224,96,206.5065749
