rew_mean,recent_best_eplen,eplen_std,best_eplen,best_ext_ret,eprew,total_secs,n_updates,eprew_std,eprew_recent,epcount,recent_best_ext_ret,recent_worst_eplen,tcount,eplen
3.7792482,62,5.503408035,59,258.4,254.879,45879.03045,181,2.197466496,255.0240413,501392,257.3,130,46331244,68.05
3.7894084,61,6.104785008,59,258.4,254.721,46130.76744,182,2.430649913,255.0639937,505183,257.9,142,46587422,68.46
3.7947724,60,3.831696752,59,258.4,255.46,46383.57505,183,1.543178538,255.0737813,508978,258,116,46843788,66.59
3.7952926,61,5.496034934,59,258.4,255.078,46641.59138,184,2.181448143,255.1440928,512770,257.6,112,47099266,67.56
3.8005028,61,4.74661985,59,258.4,255.137,46895.32176,185,1.893972281,255.137194,516569,257.7,154,47355261,67.36
3.807479,61,3.948809947,59,258.4,255.356,47148.8927,186,1.568586625,255.1642313,520374,257.6,146,47611401,66.87
3.8156168,60,6.07819052,59,258.4,254.755,47398.24864,187,2.418237995,255.2261599,524189,258,110,47867648,68.34
3.8039362,61,5.355221751,59,258.4,254.89,47650.58607,188,2.131501818,255.1807156,527990,257.6,131,48123402,68.04
3.812992,60,4.446841576,59,258.4,255.352,47903.3025,189,1.764736808,255.190995,531799,258,240,48379545,66.84
3.8188915,61,5.363357158,59,258.4,255.246,48156.82599,190,2.130137085,255.2949699,535616,257.6,155,48635249,67.12
3.8101966,61,3.988621316,59,258.4,255.5,48413.82058,191,1.587954659,255.1319149,539423,257.6,375,48891263,66.47
3.827562,61,5.488852339,59,258.4,255.06,48675.18545,192,2.183849812,255.2604706,543248,257.7,150,49147829,67.55
3.8155577,61,4.78408821,59,258.4,255.227,48928.76521,193,1.898834116,255.2691319,547061,257.6,138,49403488,67.15
3.834462,60,4.317534018,59,258.4,255.359,49186.60435,194,1.72737344,255.3482507,550891,258.1,109,49659540,66.83
3.8392,61,3.940291867,59,258.4,255.559,49438.01056,195,1.559557309,255.3615645,554726,257.6,150,49915791,66.29
3.8425353,61,3.337663854,59,258.4,255.682,49691.22485,196,1.320407513,255.374798,558563,257.7,114,50172071,66
3.8368618,61,4.745987779,59,258.4,255.419,49943.74222,197,1.872842492,255.3902299,562391,257.6,123,50427619,66.66
3.8394034,60,5.467458276,59,258.4,255.158,50197.14413,198,2.173392739,255.3641608,566222,258.1,99,50683596,67.37
3.8421338,61,3.523975028,59,258.4,255.674,50451.68854,199,1.404964056,255.4298722,570055,257.6,127,50939121,66.04
3.858578,61,5.548143834,59,258.4,255.134,50703.88087,200,2.189621885,255.4246042,573908,257.6,277,51195995,67.41
3.8478975,61,3.189529746,59,258.4,255.75,50958.35236,201,1.26313103,255.4672391,577751,257.6,108,51451808,65.87
3.8610966,61,4.20688721,59,258.4,255.544,51215.74465,202,1.672322935,255.5100701,581604,257.6,141,51707854,66.39
3.8542354,61,6.230016051,59,258.4,254.93,51471.27629,203,2.483565985,255.4856734,585450,257.6,165,51963684,67.87
3.861933,61,4.188305146,59,258.4,255.663,51723.57676,204,1.648675529,255.4899299,589303,257.6,93,52219928,66.09
3.8691273,59,4.375202852,59,258.7,255.603,51977.17297,205,1.748739832,255.5845596,593163,258.7,97,52475746,66.24
3.8607852,61,4.867073042,59,258.7,255.504,52229.74288,206,1.926339534,255.5057647,597014,257.6,121,52731723,66.46
3.8789449,60,3.478505426,59,258.7,255.852,52489.37704,207,1.377641463,255.6231127,600882,258,96,52987691,65.6
3.8611507,62,4.63788745,59,258.7,255.495,52745.47191,208,1.849236329,255.5219164,604733,257.5,114,53243527,66.5
3.868459,61,5.033050765,59,258.7,255.381,53002.3174,209,1.99673208,255.5392644,608594,257.7,310,53499852,66.78
3.8737125,61,5.103371435,59,258.7,255.55,53257.99223,210,2.014472636,255.5943294,612456,257.8,133,53755734,66.34
3.8782218,60,4.92636783,59,258.7,255.515,53511.25126,211,1.9651145,255.6300336,616325,258,89,54011722,66.47
3.8586469,61,4.65295605,59,258.7,255.662,53764.2249,212,1.856490237,255.4780203,620174,257.8,375,54267358,66.1
3.8709414,60,5.056431548,59,258.7,255.492,54018.06955,213,2.007669295,255.583247,624036,258,86,54523424,66.55
3.8765602,61,4.334731826,59,258.7,255.701,54270.15834,214,1.74244053,255.5253882,627900,257.9,375,54779615,65.99
3.8729055,60,4.180657843,59,258.7,255.752,54523.05768,215,1.66327869,255.6188518,631767,258,218,55035670,65.89
3.8877695,61,4.333589736,59,258.7,255.776,54775.69514,216,1.713132803,255.6665119,635643,257.7,107,55291817,65.8
3.8728065,61,4.81766541,59,258.7,255.511,55032.52707,217,1.924260637,255.6240621,639508,257.7,123,55547712,66.49
3.8797345,61,4.662306296,59,258.7,255.622,55290.32307,218,1.869469443,255.5750129,643378,257.9,375,55803838,66.27
3.8708708,61,5.164058481,59,258.7,255.424,55547.94519,219,2.051785564,255.5889896,647238,257.8,116,56059760,66.75
3.881399,61,4.317163421,59,258.7,255.758,55802.15066,220,1.715877618,255.6660899,651110,257.8,126,56315706,65.89
3.895019,61,6.240985499,59,258.7,255.319,56055.80378,221,2.480390897,255.7003349,654992,257.6,104,56571965,66.99
3.8851707,60,4.398852123,59,258.7,255.723,56309.82772,222,1.757433071,255.6863003,658868,258.1,110,56828005,65.99
3.8845706,60,4.673018297,59,258.7,255.802,56564.53456,223,1.847050622,255.6747997,662737,258,99,57083655,65.77
