best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
248.6,85,89.84,52730224,0.994124741,218,248.3,84,206,2.7469497,246.146,246.0462943,393022,51584.62591,2.516823395
248.6,85,89.82,52986141,2.649508634,235,248,84,207,2.7435532,246.148,246.0599578,395864,51838.51844,6.683382377
248.6,85,90.32,53241780,2.279537453,177,248.1,84,208,2.748133,245.947,246.1742626,398712,52090.14609,5.726918892
248.6,85,89.2,53498688,0.855230378,222,248.1,84,209,2.7667832,246.391,246.2571976,401581,52343.81847,2.186321111
248.6,85,90.15,53753854,2.707711949,206,248.3,84,210,2.7446425,246.036,246.1653413,404423,52593.34811,6.79908082
248.6,84,90.32,54010663,2.774039654,227,248.5,84,211,2.7593591,245.952,246.1579371,407283,52845.41982,6.979799424
248.6,84,89.56,54265888,1.969847456,185,248.5,84,212,2.756067,246.249,246.3024177,410137,53095.37372,4.913898656
248.9,83,88.91,54522534,0.582521244,196,248.9,83,213,2.7808135,246.513,246.4025365,413015,53346.60745,1.490603904
248.9,84,89.37,54778443,2.788105271,209,248.4,83,214,2.7678897,246.313,246.3563154,415881,53601.56061,6.969440437
248.9,84,89.11,55034347,2.449064311,199,248.5,83,215,2.770396,246.422,246.3677363,418748,53849.51044,6.130081566
248.9,84,91.29,55290471,5.713235861,223,248.5,83,216,2.7688215,245.544,246.3637156,421617,54098.58068,14.29076275
248.9,84,88.82,55546075,1.717743869,232,248.5,83,217,2.7758906,246.534,246.4837452,424490,54349.17682,4.299720921
248.9,84,89.27,55802521,1.729315182,171,248.4,83,218,2.788655,246.363,246.5059986,427374,54601.05345,4.342476252
248.9,84,88.53,56059089,2.071481595,212,248.5,83,219,2.7883422,246.658,246.5277104,430261,54852.94856,5.191252257
248.9,84,88.7,56314382,1.933649399,217,248.5,83,220,2.7831979,246.6,246.5799444,433138,55107.41229,4.873397172
248.9,83,88.63,56570116,3.312621168,180,248.8,83,221,2.7934532,246.629,246.6799308,436028,55360.15103,8.262753778
248.9,84,89.15,56826865,3.397472443,214,248.6,83,222,2.809848,246.409,246.6764564,438929,55607.48227,8.505733361
248.9,83,88.16,57081957,1.586044136,231,248.9,83,223,2.7940667,246.808,246.7808371,441820,55861.98975,3.943906693
248.9,84,88.44,57338325,1.716301547,199,248.5,83,224,2.8111196,246.703,246.7961472,444727,56110.6292,4.334328091
248.9,83,88.52,57594405,3.002308945,199,248.8,83,225,2.8167698,246.671,246.8844727,447638,56361.67771,7.55576601
249.3,82,88.02,57850074,1.635267256,223,249.3,82,226,2.8121939,246.851,246.8693976,450543,56615.13736,4.108479037
249.3,83,87.52,58106218,1.464107578,198,248.9,82,227,2.8122373,247.067,246.8178252,453449,56869.44728,3.659180236
249.3,84,88.29,58362303,2.420550351,226,248.5,82,228,2.8098984,246.756,246.8405573,456356,57119.84657,6.043666106
249.3,83,87.41,58617973,1.577381057,215,248.8,82,229,2.8157246,247.113,246.9434559,459267,57370.52088,3.942321651
249.3,83,87.47,58874388,1.27418366,175,249.1,82,230,2.8190832,247.084,246.8743308,462181,57620.37667,3.226313686
249.3,83,87,59130391,0.785890578,272,248.8,82,231,2.811638,247.276,246.8375645,465088,57869.50929,1.989974874
249.3,83,87.2,59386290,0.97785684,267,248.9,82,232,2.82275,247.186,246.9556241,468004,58120.24015,2.50998008
249.3,83,87.57,59642330,1.708515145,198,248.9,82,233,2.821344,247.024,246.9122855,470918,58373.64518,4.269086553
249.3,83,88.54,59898085,3.067091619,192,249.1,82,234,2.8174477,246.643,246.9530885,473832,58631.3041,7.694699474
249.3,83,87.83,60154281,1.696294786,219,248.9,82,235,2.829155,246.928,246.9753851,476753,58882.8147,4.268618043
249.3,83,87.82,60410530,1.910238467,147,248.9,82,236,2.8265092,246.933,246.9705238,479674,59134.49342,4.788277352
249.3,83,88.41,60665766,2.097616743,174,249.1,82,237,2.8096328,246.702,246.8977609,482577,59383.29216,5.30300858
249.3,84,88.54,60922165,2.568137652,179,248.6,82,238,2.8333392,246.637,247.0036239,485502,59633.69313,6.479845677
249.3,84,88.48,61177835,2.547480913,186,248.6,82,239,2.8260775,246.671,247.0393836,488422,59884.12478,6.413236313
249.3,83,87.59,61434713,1.726122823,188,248.9,82,240,2.8450491,247.01,247.0588556,491358,60132.19065,4.354526381
249.3,83,87.94,61690664,2.462003046,173,248.8,82,241,2.8294091,246.879,247.0628845,494284,60384.9194,6.188408519
249.3,83,87.14,61946113,1.605219923,247,248.9,82,242,2.8230875,247.187,246.9983877,497199,60638.53759,4.015021793
249.3,83,87.51,62202091,1.855801714,180,248.8,82,243,2.8297744,247.04,247.0104381,500121,60890.36013,4.652945304
249.3,83,87.63,62458163,2.127859018,178,248.8,82,244,2.8338861,246.996,247.0186389,503045,61141.0774,5.328517617
249.3,84,86.97,62713838,1.743701809,178,248.6,82,245,2.831021,247.252,247.0983937,505971,61387.55615,4.396487234
