eplen,best_eplen,rew_mean,n_updates,total_secs,best_ext_ret,recent_worst_eplen,recent_best_ext_ret,epcount,tcount,eplen_std,recent_best_eplen,eprew_std,eprew,eprew_recent
114.61,88,2.0399423,126,36694.10489,246.9,375,244.9,182580,32248730,13.8317714,93,5.551889318,236.285,235.4096876
114.89,88,2.0267644,127,36986.58858,246.9,375,246,184775,32504612,13.08579,90,5.227662862,236.179,235.3962642
116.01,88,2.0455167,128,37282.1615,246.9,217,246,186985,32760354,13.70583452,90,5.484778938,235.72,235.8385068
116.71,88,2.0494826,129,37575.68706,246.9,207,246.2,189198,33016307,16.71364413,90,6.701164899,235.433,235.8660642
115.23,88,2.0691903,130,37871.00997,246.9,244,244.6,191430,33272361,15.49635764,94,6.192422708,236.049,236.2367384
115.3,88,2.0685828,131,38167.56319,246.9,213,245.7,193661,33527902,14.19894362,91,5.665063459,236.016,236.3100852
113.93,88,2.0627918,132,38466.14222,246.9,375,245.7,195889,33783739,13.11125852,91,5.237354676,236.546,235.9822711
112.72,88,2.080459,133,38761.03744,246.9,375,246.8,198138,34040435,12.32889289,88,4.936696365,237.023,236.0746999
115.25,88,2.0845463,134,39054.21873,246.9,244,246.4,200384,34296776,21.44125696,89,8.584323852,236.028,236.4701247
113.46,88,2.071091,135,39352.2979,246.9,375,246.1,202618,34552456,14.53232259,90,5.802330222,236.742,236.135094
114.82,88,2.1049793,136,39644.63044,246.9,317,246,204882,34808609,24.10907713,90,9.655820835,236.182,236.867182
115.8,88,2.1065326,137,39940.99118,246.9,234,246.8,207150,35064596,16.08477541,88,6.442512243,235.794,236.973545
113.11,88,2.1120574,138,40237.37883,246.9,375,246.5,209422,35320568,14.83030344,89,5.945155591,236.875,236.9541813
114.11,88,2.1141043,139,40529.98441,246.9,207,245.3,211693,35576061,15.51959729,92,6.193655706,236.477,237.1242624
112.09,88,2.1207397,140,40821.76298,246.9,220,246.9,213972,35832612,13.00084228,88,5.221273791,237.29,237.0959193
109.29,88,2.131464,141,41113.85804,246.9,375,246.8,216262,36088553,12.43406209,88,4.976237133,238.408,237.3166376
113.01,88,2.1367812,142,41406.821,246.9,375,246.4,218557,36345165,14.09503104,89,5.62862994,236.925,237.297037
112.41,88,2.137938,143,41699.47353,246.9,203,246.6,220848,36600325,15.31280183,89,6.112369344,237.171,237.5715408
112.75,88,2.1490226,144,41995.81875,246.9,210,246,223152,36856694,13.40699444,90,5.334867946,237.028,237.6145399
111.54,88,2.1413937,145,42289.0894,246.9,375,246.3,225450,37111864,13.98815213,90,5.594132283,237.522,237.6059182
110.85,88,2.168768,146,42581.23757,246.9,202,245.4,227772,37368196,14.98691096,92,5.995720057,237.779,237.959733
113.54,88,2.1555505,147,42871.94828,246.9,375,244.6,230085,37624714,14.86836911,94,5.932442583,236.705,237.6598789
109.03,88,2.1695654,148,43167.22285,246.9,208,246.2,232408,37880999,11.47297259,90,4.596214094,238.496,237.9869996
110.46,88,2.1709683,149,43461.70839,246.9,230,246.4,234734,38137062,13.77491924,89,5.514152247,237.925,238.0851677
107.89,88,2.1722932,150,43753.86991,246.9,227,245.3,237056,38392256,10.1527287,92,4.072453192,238.965,238.1596038
111.3,88,2.1789958,151,44047.33172,246.9,375,246.2,239389,38648603,11.79025021,90,4.726140497,237.586,238.0791685
