recent_best_ext_ret,eprew_std,eplen,recent_best_eplen,tcount,best_eplen,recent_worst_eplen,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std,best_ext_ret,n_updates
5.4375,1.98030300711785,70.0,70,16894080.0,70,70,0.007842149,-0.28,0.3291520743534483,241344.0,98350.66693639755,0.0,9.4375,132
8.5625,1.9742340286804907,70.0,70,17019520.0,70,70,0.013945249,0.32,0.4466029575892857,243136.0,99098.03929400444,0.0,9.4375,133
7.78125,2.05367962447895,70.0,70,17149440.0,70,70,0.009118652,-0.32,0.2844659213362069,244992.0,99841.28835225105,0.0,9.4375,134
4.65625,1.9183326093250879,70.0,70,17279360.0,70,70,0.0096809575,-0.8,0.2524919181034483,246848.0,100590.16781020164,0.0,9.4375,135
6.21875,1.9935897271003378,70.0,70,17404800.0,70,70,0.00946806,0.16,0.21555873325892858,248640.0,101335.5870449543,0.0,9.4375,136
5.4375,1.8888447196633185,70.0,70,17534720.0,70,70,0.010728725,0.8375,0.3909617456896552,250496.0,102078.2750442028,0.0,9.4375,137
5.4375,1.8973314936707817,70.0,70,17660160.0,70,70,0.012252041,0.643125,0.23053850446428573,252288.0,102823.42878627777,0.0,9.4375,138
5.4375,1.42828568570857,70.0,70,17790080.0,70,70,0.009486121,1.4,0.4639176993534483,254144.0,103562.32130622864,0.0,9.4375,139
4.65625,1.9983993594874871,70.0,70,17915520.0,70,70,0.011222401,0.08,0.21376255580357142,255936.0,104312.78698563576,0.0,9.4375,140
5.4375,2.06881608655772,70.0,70,18045440.0,70,70,0.0042091873,-1.0,-0.030980603448275863,257792.0,105064.00426650047,0.0,9.4375,141
3.875,1.5710241235814935,70.0,70,18175360.0,70,70,0.009304994,1.243125,0.21393453663793102,259648.0,105818.95070171356,0.0,9.4375,142
4.65625,1.999599959991998,70.0,70,18300800.0,70,70,0.010241154,0.04,0.2631138392857143,261440.0,106566.24287724495,0.0,9.4375,143
4.65625,1.9935897271003378,70.0,70,18430720.0,70,70,0.00982124,-0.16,0.31487405711206895,263296.0,107307.77072691917,0.0,9.4375,144
6.21875,1.929364244179608,70.0,70,18556160.0,70,70,0.012851426,0.8303125,0.3378383091517857,265088.0,108057.67967295647,0.0,9.4375,145
7.09375,1.993589727100338,70.0,70,18686080.0,70,70,0.009291661,0.16,0.3152781519396552,266944.0,108800.29240226746,0.0,9.4375,146
5.4375,1.999599959991998,70.0,70,18811520.0,70,70,0.011055708,0.04,0.28819056919642855,268736.0,109548.73232531548,0.0,9.4375,147
4.65625,2.130164312911096,70.0,70,18941440.0,70,70,0.009654368,-0.32,0.30680899784482757,270592.0,110288.79251694679,0.0,9.4375,148
7.78125,2.152579847531794,70.0,70,19071360.0,70,70,0.010840381,0.08,0.30866109913793105,272448.0,111033.48255729675,0.0,9.4375,149
4.65625,1.999599959991998,70.0,70,19196800.0,70,70,0.007328636,-0.04,0.054112025669642856,274240.0,111778.15683674812,0.0,9.4375,150
4.65625,1.6927989430876753,70.0,70,19326720.0,70,70,0.005309171,1.0909375,-0.009832974137931034,276096.0,112523.14156723022,0.0,9.4375,151
5.4375,2.0769207977195467,70.0,70,19452160.0,70,70,0.0152460765,0.08,0.49863978794642855,277888.0,113272.11531829834,0.0,9.4375,152
5.4375,1.9078784028338913,70.0,70,19582080.0,70,70,0.008532495,0.6,0.26193763469827586,279744.0,114019.08597493172,0.0,9.4375,153
4.65625,2.0,70.0,70,19707520.0,70,70,0.017219061,0.0,0.6688755580357143,281536.0,114771.20433688164,0.0,9.4375,154
