total_secs,eprew_std,recent_best_ext_ret,recent_best_eplen,eprew_recent,best_ext_ret,epcount,eplen,best_eplen,tcount,recent_worst_eplen,eplen_std,eprew,rew_mean,n_updates
101485.5522,1.370361494,-0.78125,100,-4.957275391,0,95328,100,100,9532800,100,0,-5.31875,-0.038395315,149
102136.9467,1.165933898,-0.78125,100,-5.029541016,0,95968,100,100,9596800,100,0,-5.2078125,-0.03867192,150
102790.0754,1.070416281,-0.78125,100,-4.928466797,0,96608,100,100,9660800,100,0,-5.278125,-0.037016563,151
103443.7151,1.341655344,-0.3125,100,-4.809570313,0,97248,100,100,9724800,100,0,-5.08125,-0.037135273,152
104091.6832,1.043253999,-0.9375,100,-5.215820313,0,97888,100,100,9788800,100,0,-5.75,-0.04083967,153
104751.0148,1.323225337,-1.5625,100,-4.991943359,0,98528,100,100,9852800,100,0,-4.5484375,-0.037970502,154
105400.9639,0.988211769,-0.625,100,-5.049560547,0,99168,100,100,9916800,100,0,-4.84375,-0.039046388,155
106054.4399,1.474439612,-1.71875,100,-5.267089844,0,99808,100,100,9980800,100,0,-5.6578125,-0.040888343,156
106708.086,1.001535686,-1.09375,100,-4.963134766,0,100448,100,100,10044800,100,0,-4.7984375,-0.0380338,157
107360.796,1.054653935,-1.09375,100,-5.042724609,0,101088,100,100,10108800,100,0,-5.153125,-0.03806207,158
108015.2714,1.321032533,-0.625,100,-4.748291016,0,101728,100,100,10172800,100,0,-5.134375,-0.036505952,159
108670.6971,0.950497146,-0.9375,100,-5.210449219,0,102368,100,100,10236800,100,0,-5.0671875,-0.03985803,160
109324.459,1.199539096,-1.40625,100,-5.181884766,0,103008,100,100,10300800,100,0,-4.7234375,-0.040497433,161
109977.9321,1.41031617,-0.9375,100,-4.994140625,0,103648,100,100,10364800,100,0,-5.7078125,-0.03843875,162
110625.0571,1.097044147,-1.71875,100,-5.047119141,0,104288,100,100,10428800,100,0,-5.565625,-0.039041396,163
111278.1836,1.055439547,-1.875,100,-5.249755859,0,104928,100,100,10492800,100,0,-5.0234375,-0.039819125,164
111923.8028,1.202674429,-1.25,100,-5.315673828,0,105568,100,100,10556800,100,0,-4.8625,-0.041083205,165
112583.3094,1.051138705,-1.09375,100,-4.836669922,0,106208,100,100,10620800,100,0,-5.009375,-0.03825663,166
113241.3953,1.12865725,-0.78125,100,-5.2578125,0,106848,100,100,10684800,100,0,-5.575,-0.03947095,167
113892.9181,1.10809345,-0.78125,100,-4.958496094,0,107488,100,100,10748800,100,0,-4.83125,-0.037596744,168
114547.1858,1.002013354,-1.09375,100,-4.805908203,0,108128,100,100,10812800,100,0,-4.9890625,-0.03689868,169
115189.5414,1.263621099,-0.9375,100,-5.204101563,0,108768,100,100,10876800,100,0,-4.49375,-0.040182862,170
115837.6154,1.015854541,-0.9375,100,-5.033203125,0,109408,100,100,10940800,100,0,-4.6046875,-0.03840333,171
116484.8457,0.979008188,-0.625,100,-4.924316406,0,110048,100,100,11004800,100,0,-4.69375,-0.037971117,172
117138.8147,1.158876872,-1.71875,100,-5.056640625,0,110688,100,100,11068800,100,0,-4.9953125,-0.03845835,173
